Shimmer_89F4_TimestampSync_Unix_CAL,Shimmer_89F4_ECG_EMG_Status1_LPF_CAL,Shimmer_89F4_ECG_EMG_Status2_LPF_CAL,Shimmer_89F4_ECG_IBI_LA_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_LA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_Vx_RL_LPF_CAL,Shimmer_89F4_ECG_LA_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_LA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_Vx_RL_24BIT_LPF_CAL,Shimmer_89F4_ECGtoHR_LA_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_LA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_Vx_RL_LPF_CAL
1.71E+12,128,128,-1,-1,-1,-1,-4.236712961,-23.23708394,-27.4737969,-18.46436303,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236712961,-23.23708394,-27.4737969,-18.46436303,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236713,-23.23708391,-27.47379691,-18.46436301,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236713165,-23.23708377,-27.47379694,-18.46436294,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.23671354,-23.23708347,-27.47379701,-18.46436281,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236714196,-23.23708293,-27.47379713,-18.46436259,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236715211,-23.23708209,-27.4737973,-18.46436224,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236716645,-23.23708093,-27.47379758,-18.46436171,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236718512,-23.23707947,-27.47379798,-18.46436099,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236720797,-23.2370777,-27.4737985,-18.4643601,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.23672347,-23.23707565,-27.47379912,-18.46435905,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236726463,-23.23707329,-27.47379975,-18.46435783,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236729674,-23.23707059,-27.47380026,-18.46435642,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236732974,-23.23706751,-27.47380049,-18.46435482,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236736225,-23.23706403,-27.47380025,-18.464353,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236739314,-23.23706012,-27.47379943,-18.46435092,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236742158,-23.23705578,-27.47379794,-18.46434857,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236744684,-23.237051,-27.47379569,-18.46434596,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236746823,-23.23704578,-27.4737926,-18.46434305,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236748463,-23.23704005,-27.47378851,-18.46433982,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236749441,-23.2370337,-27.47378314,-18.46433626,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236749628,-23.23702659,-27.47377622,-18.46433233,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236748978,-23.2370186,-27.47376758,-18.46432797,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236747521,-23.23700963,-27.47375715,-18.46432317,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236745338,-23.23699959,-27.47374493,-18.46431793,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236742518,-23.23698841,-27.47373093,-18.46431226,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236739129,-23.236976,-27.47371512,-18.46430617,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.2367352,-23.23696227,-27.47369747,-18.46429966,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236730705,-23.23694712,-27.47367783,-18.46429272,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236725526,-23.23693044,-27.47365596,-18.46428534,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236719489,-23.2369121,-27.47363159,-18.46427752,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236712406,-23.23689199,-27.47360439,-18.46426921,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236704098,-23.23687,-27.47357409,-18.4642604,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236694395,-23.23684603,-27.47354042,-18.46425108,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.2366831,-23.23682,-27.4735031,-18.46424123,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236669978,-23.23679183,-27.47346181,-18.46423085,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.23665478,-23.23676141,-27.47341619,-18.46421998,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236637244,-23.23672861,-27.47336585,-18.4642086,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236617103,-23.23669327,-27.47331037,-18.46419672,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236594112,-23.23665525,-27.47324936,-18.46418433,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236568043,-23.23661442,-27.47318246,-18.46417145,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.23653867,-23.23657063,-27.4731093,-18.46415808,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236505746,-23.23652375,-27.47302949,-18.46414425,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236469004,-23.23647368,-27.47294268,-18.46412994,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.23642816,-23.23642027,-27.47284843,-18.46411517,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236382902,-23.23636336,-27.47274626,-18.46409996,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236332861,-23.23630271,-27.47263557,-18.46408435,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236277624,-23.2362381,-27.47251573,-18.46406836,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.23621677,-23.23616932,-27.47238609,-18.46405198,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236149904,-23.23609617,-27.47224608,-18.4640352,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.236076665,-23.23601847,-27.47209513,-18.46401805,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.235996704,-23.23593601,-27.47193271,-18.46400058,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.235909656,-23.23584857,-27.47175823,-18.4639828,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.235815091,-23.23575589,-27.47157099,-18.46396474,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.235712502,-23.2356577,-27.47137021,-18.46394643,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.23560133,-23.23555371,-27.47115504,-18.4639279,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.235480994,-23.23544363,-27.47092462,-18.46390916,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.235350909,-23.23532722,-27.47067812,-18.46389025,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.235210478,-23.23520423,-27.47041471,-18.46387123,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.235059109,-23.23507445,-27.47013356,-18.46385218,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.234896231,-23.23493758,-27.46983381,-18.46383321,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.234721307,-23.23479332,-27.46951462,-18.46381439,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.234533823,-23.2346413,-27.46917512,-18.46379582,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.234333243,-23.23448114,-27.46881439,-18.46377755,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.23411897,-23.23431245,-27.46843142,-18.46375963,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.23389038,-23.23413483,-27.46802521,-18.4637421,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.233646867,-23.23394789,-27.46759475,-18.46372506,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.233387858,-23.23375126,-27.46713912,-18.46370859,-1,-1,-1,-1
