Shimmer_86BB_TimestampSync_Unix_CAL,Shimmer_86BB_GSR_Range_LPF_CAL,Shimmer_86BB_GSR_Skin_Conductance_LPF_CAL,Shimmer_86BB_GSR_Skin_Resistance_LPF_CAL,Shimmer_86BB_PPG_A13_LPF_CAL,Shimmer_86BB_PPG_IBI_LPF_CAL,Shimmer_86BB_PPGtoHR_LPF_CAL
1.71E+12,3,0.860694861,1161.851947,2930.40293,-1,106.6666667
1.71E+12,3,0.860694861,1161.851947,2930.40293,-1,106.6666667
1.71E+12,3,0.86069486,1161.851948,2930.402931,-1,106.6666667
1.71E+12,3,0.860694856,1161.851953,2930.402932,-1,106.6666667
1.71E+12,3,0.860694847,1161.851966,2930.402933,-1,106.6666667
1.71E+12,3,0.860694827,1161.851993,2930.402936,-1,106.6666667
1.71E+12,3,0.860694793,1161.852039,2930.402941,-1,106.6666667
1.71E+12,3,0.86069474,1161.852111,2930.402951,-1,106.6666667
1.71E+12,3,0.86069466,1161.85222,2930.402965,-1,106.6666667
1.71E+12,3,0.860694546,1161.852374,2930.402984,-1,106.6666667
1.71E+12,3,0.860694391,1161.852585,2930.403009,-1,106.6666667
1.71E+12,3,0.860694185,1161.852865,2930.403042,-1,106.6666667
1.71E+12,3,0.860693917,1161.853228,2930.403085,-1,106.6666667
1.71E+12,3,0.860693577,1161.85369,2930.403138,-1,106.6666667
1.71E+12,3,0.860693151,1161.85427,2930.403201,-1,106.6666667
1.71E+12,3,0.860692629,1161.85498,2930.403278,-1,106.6666667
1.71E+12,3,0.860692003,1161.855831,2930.403369,-1,106.6666667
1.71E+12,3,0.860691268,1161.856831,2930.403477,-1,106.6666329
1.71E+12,3,0.860690417,1161.857987,2930.403602,-1,106.6664923
1.71E+12,3,0.860689449,1161.859305,2930.403746,-1,106.6661635
1.71E+12,3,0.860688363,1161.860783,2930.403912,-1,106.6655564
1.71E+12,3,0.860687163,1161.862417,2930.404102,-1,106.6645715
1.71E+12,3,0.860685853,1161.864204,2930.404318,-1,106.6630995
1.71E+12,3,0.860684434,1161.86614,2930.404562,-1,106.6610206
1.71E+12,3,0.860682908,1161.868225,2930.404837,-1,106.6582042
1.71E+12,3,0.860681273,1161.870462,2930.405144,-1,106.6545077
1.71E+12,3,0.860679521,1161.872861,2930.405486,-1,106.6497767
1.71E+12,3,0.860677639,1161.87544,2930.405866,-1,106.6438434
1.71E+12,3,0.860675609,1161.878225,2930.406289,-1,106.6365265
1.71E+12,3,0.860673408,1161.881247,2930.406757,-1,106.6276304
1.71E+12,3,0.860671012,1161.884541,2930.407275,-1,106.6169444
1.71E+12,3,0.860668393,1161.888146,2930.407844,-1,106.604242
1.71E+12,3,0.860665522,1161.892104,2930.408469,-1,106.5892802
1.71E+12,3,0.860662365,1161.896459,2930.409151,-1,106.5717992
1.71E+12,3,0.86065889,1161.901258,2930.409896,-1,106.551521
1.71E+12,3,0.860655061,1161.906552,2930.410709,-1,106.5281498
1.71E+12,3,0.860650839,1161.912395,2930.411592,-1,106.5013704
1.71E+12,3,0.860646184,1161.918843,2930.412551,-1,106.4708486
1.71E+12,3,0.860641053,1161.925956,2930.413587,-1,106.4362301
1.71E+12,3,0.860635401,1161.933799,2930.414706,-1,106.3971405
1.71E+12,3,0.860629179,1161.942439,2930.415911,-1,106.3531847
1.71E+12,3,0.860622337,1161.951946,2930.417207,-1,106.3039471
1.71E+12,3,0.86061482,1161.962399,2930.418598,-1,106.2489908
1.71E+12,3,0.86060657,1161.973877,2930.420088,-1,106.1878582
1.71E+12,3,0.860597526,1161.986469,2930.421681,-1,106.1200708
1.71E+12,3,0.860587623,1162.000264,2930.423382,-1,106.045129
1.71E+12,3,0.860576792,1162.015358,2930.425195,-1,105.9625131
1.71E+12,3,0.86056496,1162.031855,2930.427122,-1,105.8716831
1.71E+12,3,0.860552045,1162.049871,2930.429169,-1,105.7720793
1.71E+12,3,0.860537954,1162.069536,2930.431338,-1,105.6631232
1.71E+12,3,0.860522591,1162.090986,2930.433635,-1,105.5442179
1.71E+12,3,0.86050586,1162.114359,2930.436063,-1,105.4147492
1.71E+12,3,0.860487662,1162.139788,2930.438626,-1,105.2740867
1.71E+12,3,0.860467905,1162.167408,2930.441328,-1,105.1215846
1.71E+12,3,0.860446496,1162.197348,2930.444171,-1,104.9565834
1.71E+12,3,0.860423344,1162.229736,2930.447158,-1,104.778411
1.71E+12,3,0.860398361,1162.264695,2930.450293,-1,104.5863845
1.71E+12,3,0.860371461,1162.302349,2930.453578,-1,104.3798114
1.71E+12,3,0.860342561,1162.342814,2930.457018,-1,104.1579921
1.71E+12,3,0.860311581,1162.386204,2930.460613,-1,103.9202211
1.71E+12,3,0.860278453,1162.432621,2930.464365,-1,103.6657897
1.71E+12,3,0.860243122,1162.482146,2930.468276,-1,103.3939874
1.71E+12,3,0.860205551,1162.534843,2930.472349,-1,103.104105
1.71E+12,3,0.860165716,1162.59076,2930.476586,-1,102.7954359
1.71E+12,3,0.860123605,1162.64993,2930.480986,-1,102.4672797
1.71E+12,3,0.86007922,1162.712369,2930.485549,-1,102.1189435
1.71E+12,3,0.860032577,1162.778079,2930.490278,-1,101.7497455
1.71E+12,3,0.859983708,1162.84704,2930.495172,-1,101.359017
1.71E+12,3,0.859932662,1162.919215,2930.500231,-1,100.9461052
1.71E+12,3,0.859879503,1162.994544,2930.505453,-1,100.5103762
1.71E+12,3,0.859824317,1163.072946,2930.510838,-1,100.0512171
1.71E+12,3,0.859767205,1163.154317,2930.516383,-1,99.56803948
1.71E+12,3,0.859708291,1163.23853,2930.522089,-1,99.06028175
1.71E+12,3,0.859647716,1163.325429,2930.527952,-1,98.52741188
1.71E+12,3,0.859585647,1163.414832,2930.533971,-1,97.96893021
