Shimmer_89F4_TimestampSync_Unix_CAL,Shimmer_89F4_ECG_EMG_Status1_LPF_CAL,Shimmer_89F4_ECG_EMG_Status2_LPF_CAL,Shimmer_89F4_ECG_IBI_LA_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_LA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_Vx_RL_LPF_CAL,Shimmer_89F4_ECG_LA_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_LA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_Vx_RL_24BIT_LPF_CAL,Shimmer_89F4_ECGtoHR_LA_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_LA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_Vx_RL_LPF_CAL
1.71E+12,128,128,-1,-1,-1,-1,-4.097662461,-34.07898415,-38.17664661,-16.05052424,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.097662461,-34.07898415,-38.17664661,-16.05052424,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.097662461,-34.07898415,-38.17664661,-16.05052423,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.097662468,-34.0789841,-38.17664656,-16.05052413,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.097662487,-34.07898388,-38.17664637,-16.05052394,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.097662512,-34.07898331,-38.17664582,-16.05052362,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.097662531,-34.07898216,-38.17664469,-16.05052318,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.097662525,-34.07898028,-38.17664281,-16.05052259,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.097662468,-34.07897759,-38.17664006,-16.05052183,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-4.097662324,-34.07897408,-38.17663641,-16.05052094,-1,-1,-1,-1
