Shimmer_86BB_TimestampSync_Unix_CAL,Shimmer_86BB_GSR_Range_LPF_CAL,Shimmer_86BB_GSR_Skin_Conductance_LPF_CAL,Shimmer_86BB_GSR_Skin_Resistance_LPF_CAL,Shimmer_86BB_PPG_A13_LPF_CAL,Shimmer_86BB_PPG_IBI_LPF_CAL,Shimmer_86BB_PPGtoHR_LPF_CAL
1.71E+12,3,0.541014541,1848.379155,2932.600733,-1,-1
1.71E+12,3,0.541014541,1848.379155,2932.600733,-1,-1
1.71E+12,3,0.541014541,1848.379155,2932.600731,-1,-1
1.71E+12,3,0.541014541,1848.379155,2932.600727,-1,-1
1.71E+12,3,0.54101454,1848.379157,2932.600719,-1,-1
1.71E+12,3,0.541014539,1848.379161,2932.600707,-1,-1
1.71E+12,3,0.541014537,1848.379168,2932.600689,-1,-1
1.71E+12,3,0.541014534,1848.37918,2932.600664,-1,-1
1.71E+12,3,0.541014529,1848.379196,2932.60063,-1,-1
1.71E+12,3,0.541014522,1848.37922,2932.600586,-1,-1
1.71E+12,3,0.541014512,1848.379253,2932.60053,-1,-1
1.71E+12,3,0.541014499,1848.379297,2932.600459,-1,-1
1.71E+12,3,0.541014483,1848.379353,2932.60037,-1,-1
1.71E+12,3,0.541014462,1848.379424,2932.600262,-1,-1
1.71E+12,3,0.541014436,1848.379513,2932.600131,-1,-1
1.71E+12,3,0.541014404,1848.379624,2932.599974,-1,-1
1.71E+12,3,0.541014364,1848.37976,2932.59979,-1,-1
1.71E+12,3,0.541014315,1848.379927,2932.599574,-1,-1
1.71E+12,3,0.541014256,1848.38013,2932.599324,-1,-1
1.71E+12,3,0.541014184,1848.380375,2932.599035,-1,-1
1.71E+12,3,0.541014098,1848.380669,2932.598705,-1,-1
1.71E+12,3,0.541013996,1848.381019,2932.598329,-1,-1
1.71E+12,3,0.541013874,1848.381435,2932.597901,-1,-1
1.71E+12,3,0.541013731,1848.381924,2932.597418,-1,-1
1.71E+12,3,0.541013564,1848.382495,2932.596875,-1,-1
1.71E+12,3,0.54101337,1848.38316,2932.596267,-1,-1
1.71E+12,3,0.541013146,1848.383928,2932.595587,-1,-1
1.71E+12,3,0.541012887,1848.384811,2932.594832,-1,-1
1.71E+12,3,0.541012592,1848.385821,2932.593994,-1,-1
1.71E+12,3,0.541012256,1848.38697,2932.59307,-1,-1
1.71E+12,3,0.541011876,1848.388273,2932.592051,-1,-1
1.71E+12,3,0.541011446,1848.389744,2932.590932,-1,-1
1.71E+12,3,0.541010963,1848.391398,2932.589705,-1,-1
1.71E+12,3,0.541010421,1848.393253,2932.588363,-1,-1
1.71E+12,3,0.541009815,1848.395326,2932.586899,-1,-1
1.71E+12,3,0.54100914,1848.397635,2932.585305,-1,-1
1.71E+12,3,0.54100839,1848.400202,2932.583573,-1,-1
1.71E+12,3,0.541007558,1848.403049,2932.581695,-1,-1
1.71E+12,3,0.541006638,1848.406199,2932.579664,-1,-1
1.71E+12,3,0.541005623,1848.409676,2932.57747,-1,-1
1.71E+12,3,0.541004504,1848.413504,2932.575106,-1,-1
1.71E+12,3,0.541003275,1848.417711,2932.572563,-1,-1
1.71E+12,3,0.541001928,1848.422324,2932.569833,-1,-1
1.71E+12,3,0.541000453,1848.427372,2932.566908,-1,-1
1.71E+12,3,0.540998843,1848.432885,2932.563778,-1,-1
1.71E+12,3,0.540997088,1848.438894,2932.560435,-1,-1
1.71E+12,3,0.540995178,1848.445433,2932.556871,-1,-1
1.71E+12,3,0.540993104,1848.452535,2932.553075,-1,-1
1.71E+12,3,0.540990855,1848.460235,2932.549041,-1,-1
1.71E+12,3,0.540988421,1848.468569,2932.544758,-1,-1
1.71E+12,3,0.540985792,1848.477575,2932.540219,-1,-1
1.71E+12,3,0.540982954,1848.487292,2932.535416,-1,-1
1.71E+12,3,0.540979897,1848.497761,2932.53034,-1,-1
1.71E+12,3,0.540976609,1848.509022,2932.524983,-1,-1
1.71E+12,3,0.540973078,1848.521117,2932.519339,-1,-1
