Shimmer_89F4_TimestampSync_Unix_CAL,Shimmer_89F4_ECG_EMG_Status1_LPF_CAL,Shimmer_89F4_ECG_EMG_Status2_LPF_CAL,Shimmer_89F4_ECG_IBI_LA_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_LA_LPF_CAL,Shimmer_89F4_ECG_IBI_LL_RA_LPF_CAL,Shimmer_89F4_ECG_IBI_Vx_RL_LPF_CAL,Shimmer_89F4_ECG_LA_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_LA_24BIT_LPF_CAL,Shimmer_89F4_ECG_LL_RA_24BIT_LPF_CAL,Shimmer_89F4_ECG_Vx_RL_24BIT_LPF_CAL,Shimmer_89F4_ECGtoHR_LA_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_LA_LPF_CAL,Shimmer_89F4_ECGtoHR_LL_RA_LPF_CAL,Shimmer_89F4_ECGtoHR_Vx_RL_LPF_CAL
1.71E+12,128,128,-1,-1,-1,-1,-5.718956675,-16.32545189,-22.04440857,-4.125501409,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718956675,-16.32545189,-22.04440857,-4.125501409,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718956694,-16.32545189,-22.04440858,-4.12550142,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718956771,-16.3254519,-22.04440867,-4.125501456,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718956928,-16.32545194,-22.04440886,-4.125501511,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718957169,-16.32545204,-22.04440921,-4.125501558,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718957516,-16.32545225,-22.04440977,-4.125501559,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718958028,-16.32545258,-22.04441061,-4.12550146,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718958818,-16.32545307,-22.04441189,-4.125501221,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718960031,-16.32545378,-22.04441381,-4.125500823,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718961783,-16.32545479,-22.04441658,-4.125500236,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718964142,-16.32545624,-22.04442039,-4.12549942,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718967157,-16.32545829,-22.04442544,-4.125498358,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718970905,-16.32546107,-22.04443198,-4.125497027,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718975561,-16.32546473,-22.04444029,-4.125495389,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718981392,-16.32546937,-22.04445077,-4.125493417,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718988706,-16.3254751,-22.0444638,-4.125491091,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.718997825,-16.32548202,-22.04447984,-4.125488388,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719009054,-16.3254903,-22.04449935,-4.125485269,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.71902271,-16.32550014,-22.04452285,-4.125481697,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719039153,-16.32551179,-22.04455095,-4.125477617,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719058784,-16.32552551,-22.04458429,-4.125472947,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719082037,-16.32554157,-22.04462361,-4.12546759,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.71910938,-16.32556029,-22.04466967,-4.125461461,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719141285,-16.32558195,-22.04472324,-4.125454497,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719178233,-16.32560686,-22.0447851,-4.125446625,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719220728,-16.32563536,-22.04485608,-4.12543777,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719269293,-16.32566778,-22.04493707,-4.125427873,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719324466,-16.32570453,-22.04502899,-4.125416864,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719386777,-16.32574599,-22.04513277,-4.125404657,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719456704,-16.32579258,-22.04524928,-4.125391191,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719534727,-16.32584467,-22.0453794,-4.125376397,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719621375,-16.32590269,-22.04552406,-4.125360185,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-1,-1,-5.719717252,-16.32596707,-22.04568433,-4.125342456,-1,-1,-1,-1
1.71E+12,128,128,-1,-1,-0.999375753,-1,-5.71982307,-16.32603833,-22.0458614,-4.125323105,-1,-1,-0.999902668,-1
1.71E+12,128,128,-0.999375753,-1,-0.997497175,-1,-5.719939622,-16.32611697,-22.04605659,-4.125302061,-0.999902668,-1,-0.999512429,-1
1.71E+12,128,128,-0.997497175,-0.999375753,-0.99435157,-1,-5.720067722,-16.32620352,-22.04627124,-4.125279248,-0.999512429,-0.999902668,-0.99863173,-1
1.71E+12,128,128,-0.99435157,-0.997497175,-0.989921002,-1,-5.720208191,-16.32629849,-22.04650668,-4.125254557,-0.99863173,-0.999512429,-0.99706022,-1
1.71E+12,128,128,-0.989921002,-0.99435157,-0.984182342,-1,-5.720361842,-16.32640246,-22.0467643,-4.125227891,-0.99706022,-0.99863173,-0.994593942,-1
1.71E+12,128,128,-0.984182342,-0.989921002,-0.977107347,-1,-5.720529479,-16.32651601,-22.04704549,-4.125199173,-0.994593942,-0.99706022,-0.991024536,-1
1.71E+12,128,128,-0.977107347,-0.984182342,-0.968662771,-1,-5.72071192,-16.32663972,-22.04735164,-4.125168309,-0.991024536,-0.994593942,-0.986138458,-1
1.71E+12,128,128,-0.968662771,-0.977107347,-0.958810507,-1,-5.720910004,-16.32677414,-22.04768415,-4.125135196,-0.986138458,-0.991024536,-0.979716221,-1
1.71E+12,128,128,-0.958810507,-0.968662771,-0.947507764,-1,-5.721124582,-16.32691984,-22.04804442,-4.125099759,-0.979716221,-0.986138458,-0.97153167,-1
1.71E+12,128,128,-0.947507764,-0.958810507,-0.934707269,-0.999373799,-5.72135652,-16.32707736,-22.04843388,-4.12506192,-0.97153167,-0.979716221,-0.961351274,-0.999902969
